Timestamp,Do you visit the lecture regularly?,"In general, how do you like the lecture?",What is your opinion on the slide design?,What could we improve on the slides?,What are your thoughts on the content density of the lectures?,The difficulty of the homework is ...,The homework is understandable and I know what to do.,The bonus tasks are a fun challenge and I enjoy tackling them,Are you using the offered walk in sessions?,Do you look at the provided solutions once they are uploaded?,What further help would you need to succesfully complete the course?,I feel like the course structure is clear and makes sense.,The topics covered in the lecture felt relevant to me.,"I would like to have a project that spans several weeks at the end of the course, instead of single homeworks.",Topics I would like to get a lookout on in the last sessions,Anything else you would like to tell us?
10/05/2018 14:11:30,No,,5,In my opinion: Nothing! The slides are super comprehensive and useful.,4,2,5,4,No,,"Some links for student to further read into the topics would be a nice addition, but it's not that necessary",4,5,4,"PsychoPy (Experiment design in Python), Data Analysis, GUI (graphical user interface) applications","You're doing a really great job with course! Thanks a lot for putting in all this effort and time, it's highly appreciated"
10/05/2018 14:12:51,No,,5,"Since I am not able to attend the lecture and can do everything on my own using the sides, I think the slides are pretty well done :D",3,3,5,3,No,,,5,5,4,"PsychoPy (Experiment design in Python), Plotting & Graphing, GUI (graphical user interface) applications",
10/05/2018 14:21:33,Yes,A bit fast ,4,"Better, more complicated examples (in regard to the exercises)",5,4,2,1,Yes,,"Homework that is more intended as a repetition of the lecture, making up huge programs is a bit too much effort for a 4 ects course",3,3,3,Neural Networks & Deep Learning,
10/05/2018 14:23:23,No,,4,,4,4,4,5,No,,,4,4,1,Neural Networks & Deep Learning,
10/05/2018 14:25:12,No,,4,you could improve the structure,4,4,3,3,No,,,4,4,1,"Neural Networks & Deep Learning, Computervision",
10/05/2018 14:26:08,Yes,"I like the lecture, because it is easy to follow your explanations. I already did Info A last semester so I already understand a lot of the concepts and ""just"" need to translate that into Python and your lectures make that really easy for me.",5,,3,3,4,4,Yes,,"Maybe more ""live coding""?",4,5,2,"Neural Networks & Deep Learning, PsychoPy (Experiment design in Python), Data Analysis",
10/05/2018 14:29:19,Yes,"Antonia speaks very fast and this was on all lectures. She just asks to excuse her but doesn't improve it. Btw, I wasn't on the last her lecture.",2,"I don't really like the way information is given on the lecture. For me it's better if you give smth, please write the code during the lecture in some code editing app and make it slowly. I want to follow your thoughts and to understand how it works. I really can not quickly read the code on the slides and compile it in my head.",5,5,3,1,No,,"I don't know what it could be from you. I don't attend walk in sessions cause I have classes on that time. I want to learn Python, it's very interesting for me and I want to have fun when I write code but for me it's like you know everything in Python but give the material that is too much for me. For me it will be better to take less from your course but it should be affordable for me.",3,2,4,"PsychoPy (Experiment design in Python), Plotting & Graphing, Data Analysis, GUI (graphical user interface) applications","I'm not advanced programmer. And Python is second language that I'm learning. The first one is MS Visual Basic (Basic level). And in this introductory Python course I really want to get introductory stuff. I want to polish basic skills, for example of writing functions. It would be better if you'll give just some template examples on basic chapters of Python. I just want to be prepared for, for example, using Python in experimental design or to know some introductary things but if I'll need in the future I can go deeper if I'll need it really. Please give not to many things that I could to master this small things."
10/05/2018 14:32:28,Yes,"It is OK, it solely focus on introducing general builtin methods without the attempt to dive deeper into practical issues that may come up using those methods.",2,More practical and hand-on ways to approach problems rather than simply introducing the built-in methods!,2,1,4,5,Yes,,I expected the course to challenge us further and prepare us for the problem-solving nature of computer coding.,4,4,3,"Plotting & Graphing, Data Analysis","Make the course and tasks more challenging, at least by introducing more bonus exercises.  "
10/05/2018 14:33:18,No,,4,,3,5,1,5,Yes,,There are some goals and ways to get them accomplished in homework tasks that are rarely explained.,4,5,2,"Neural Networks & Deep Learning, PsychoPy (Experiment design in Python), Plotting & Graphing, Data Analysis",
10/05/2018 14:37:06,Yes,I generally like the lectures. The concepts are broken down well,4,,3,4,3,2,Yes,,"I think the walk in sessions are very helpful, and you both do a good job in assisting us during those times.",3,3,4,"Neural Networks & Deep Learning, PsychoPy (Experiment design in Python), Data Analysis","I think the lectures go very well, but I find myself struggling with the homework. For example, the examples used in lectures are like apples and oranges and I feel like I understand the concepts when I am in class. However, once I get to the homework, I feel completely lost because the questions are on a different level. Perhaps in the lectures, more difficult examples could be used. It is worth noting though that I appreciate the ""tips"" in the homework lately. "
10/05/2018 15:24:41,Yes,Generally good. I see you put much effort on the course.,5,"It's not very obvious sometimes, how the method can be implemented, as I don't think as coder yet. More step-by-step code description!",4,4,3,2,Yes,No,"About the understandableness, it happens frequently that I see the homework and don't know where to start. Not sure if it is normal, but anyhow it is rather time consuming to google it or try to realize with which part of lecture it is connected. Walk-in sessions help, but sometimes I go home after them with one completely undone task just because I'm not sure if it is ok to ask a question ""I went completely blank, where to start?"" (also afraid of getting additional questions on the material). Need a hint.",3,4,1,"Neural Networks & Deep Learning, PsychoPy (Experiment design in Python), Python and Web Development, Data Analysis, Neural Networks twice!","Good job, guys!"
